rank,label,sample_count,selected,tier,super_category
54,DOCTOR LI/李医生,6481,False,,Chăm sóc da mặt
55,旗袍,6474,False,,Áo nữ
56,皮草,6428,False,,Áo khoác & trang phục giữ ấm
57,舞台灯光,6400,False,,Đèn & chiếu sáng
58,双肩背包,6315,False,,Túi xách & vali
59,实木沙发,6082,False,,Nội thất phòng khách
60,沙发椅,6069,False,,Nội thất phòng khách
61,电子美容仪,6045,True,head,Mỹ phẩm dụng cụ & phụ kiện
62,茶几,5970,False,,Nội thất phòng khách
63,高帮鞋,5929,False,,Giày nữ
64,礼服/晚装,5892,False,,Áo nữ
65,颈饰,5832,False,,Trang sức
66,衬衫,5803,False,,Áo nam
67,国产白酒,5786,False,,Rượu vang & rượu mạnh
68,鱼,5750,False,,"Thịt, cá & hải sản"
69,FANJEIS/梵洁诗,5710,False,,Chăm sóc da mặt
70,Rellet/颐莲,5677,False,,Chăm sóc da mặt
71,T恤,5602,False,,Áo nam
72,酒店工作制服,5514,False,,Đồng phục & trang phục biểu diễn
73,科学实验,5509,False,,Đồ chơi giáo dục
74,猫咪特色零食,5485,False,,Thú cưng: thức ăn
75,ZIPPO/芝宝,5477,False,,Quà tặng & đồ lưu niệm
76,鞋柜,5425,False,,Phụ kiện giày
77,瑞士腕表,5375,False,,Đồng hồ
78,牙膏,5350,True,head,Chăm sóc răng miệng
79,石雕,5344,False,,Đồ trang trí nhà cửa
80,斗柜,5224,False,,Nội thất phòng khách
81,净水器,5217,False,,Thiết bị lọc nước
82,沐浴露,5210,True,head,Chăm sóc cơ thể
83,汽车氛围灯/装饰灯,5183,False,,Ô tô: phụ tùng & phụ kiện
84,儿童桌面游戏类,5146,False,,Đồ chơi giáo dục
85,菜刀,5145,True,head,Dụng cụ nhà bếp
86,餐桌,5127,False,,Nội thất phòng ăn
87,珠宝奇石,5124,False,,Trang sức
88,门厅/玄关柜/玄关架,5096,False,,Tủ & kệ lưu trữ
89,书桌,5081,False,,Nội thất văn phòng & học tập
90,摩托车头盔,5073,False,,Ô tô: phụ tùng & phụ kiện
91,乐福鞋（豆豆鞋）,5052,False,,Giày nữ
92,保暖裤,5032,False,,Quần & váy
93,电子门锁,5018,False,,Thiết bị mạng & an ninh
94,肚皮舞套装(演出服),4962,False,,Đồng phục & trang phục biểu diễn
95,DERMAFIRM+/德妃,4889,False,,Chăm sóc da mặt
96,染发膏,4854,False,,Chăm sóc tóc
97,桌椅套件,4851,False,,"Rèm, thảm & vải gia dụng"
98,音乐盒,4848,False,,Thiết bị điện tử gia đình
99,保暖上装,4846,False,,Áo khoác & trang phục giữ ấm
100,感统训练器材/教学设备,4811,False,,Đồ chơi giáo dục
101,国产腕表,4809,False,,Đồng hồ
102,唐装,4779,False,,Áo nữ
103,电热水壶,4777,True,head,Bình nước & đồ uống
104,布艺床,4771,False,,Nội thất phòng ngủ
105,纸尿裤,4771,False,,Đồ dùng cho bé
106,布鞋,4770,False,,Giày nữ
107,葡萄酒,4738,False,,Rượu vang & rượu mạnh
108,电视柜,4729,False,,Nội thất phòng khách
109,儿童机器人/变形玩具,4717,False,,Đồ chơi mô hình & điều khiển
110,帽子,4705,True,head,"Mũ, khăn & găng tay"
111,胶水,4686,False,,Văn phòng phẩm
112,正装皮鞋,4678,True,head,Giày nam
113,布艺沙发,4663,False,,Nội thất phòng khách
114,实木床,4645,False,,Nội thất phòng ngủ
115,单鞋,4639,True,medium,Giày nữ
116,猫/狗药品,4609,False,,Sức khỏe & thiết bị y tế
117,鞋油,4531,False,,Phụ kiện giày
118,电动牙刷,4518,False,,Chăm sóc răng miệng
119,乳液/面霜,4517,False,,Chăm sóc da mặt
120,油画,4506,False,,Đồ trang trí nhà cửa
121,沙发,4466,False,,Nội thất phòng khách
122,笼子,4440,False,,Thú cưng: chăm sóc
123,洗护套装,4436,False,,Chăm sóc da mặt
124,儿童演出服,4425,False,,Đồng phục & trang phục biểu diễn
125,梳妆台/桌,4417,False,,Nội thất phòng ngủ
126,卷/直发器,4414,False,,Chăm sóc tóc
127,汽车喇叭/高音头,4414,False,,Ô tô: phụ tùng & phụ kiện
128,连体泳衣,4391,False,,Đồ bơi & thể thao nước
129,时尚休闲鞋,4388,True,head,Giày thể thao
130,室内门,4371,False,,Vật liệu xây dựng
131,卫衣/绒衫,4359,False,,Áo nữ
132,猫主粮,4354,False,,Thú cưng: thức ăn
133,餐边柜,4346,False,,Nội thất phòng khách
134,休闲运动套装,4315,True,head,Khác / chưa xác định
135,护手霜,4313,False,,Chăm sóc da mặt
136,车模,4293,False,,Ô tô: phụ tùng & phụ kiện
137,剪刀,4290,False,,Dụng cụ nhà bếp
138,展示柜,4286,True,medium,Nội thất phòng khách
139,网络摄像机,4286,True,head,Camera & nhiếp ảnh
140,假睫毛,4280,False,,Trang điểm
141,剃须刀,4266,False,,Khác / chưa xác định
142,钥匙扣,4252,False,,Khác / chưa xác định
143,狗零食,4245,False,,Đồ ăn vặt
144,素肉,4243,False,,Đồ ăn vặt
145,果酒,4235,False,,Rượu vang & rượu mạnh
146,指甲彩妆,4225,False,,Trang điểm
147,煤油打火机,4189,False,,Quà tặng & đồ lưu niệm
148,连衣裙,4183,False,,Áo nữ
149,洞洞鞋,4177,False,,Giày nữ
150,普洱,4175,False,,"Trà, cà phê & đồ uống"
151,手工创意粘贴类,4174,False,,Đồ thủ công & mỹ thuật
152,电动/遥控动物/人物,4168,False,,Đồ chơi mô hình & điều khiển
153,儿童礼服,4160,False,,Áo nữ
154,手机,4158,False,,Điện thoại & phụ kiện
155,无线/蓝牙音箱,4151,False,,Âm thanh & nhạc cụ
156,暖风机/取暖器,4148,False,,Điện lạnh & điều hòa
157,雕刻机,4137,False,,Đồ thủ công & mỹ thuật
158,飞镖/射击/射箭类,4137,False,,Thể thao bóng
159,沙发床,4129,False,,Nội thất phòng khách
160,休闲板鞋,4127,False,,Giày thể thao
161,笔记本电脑,4124,True,head,Máy tính & phụ kiện
162,吉他-民谣吉他,4119,False,,Âm thanh & nhạc cụ
163,健身裤,4115,False,,Tập luyện & thể hình
164,吸尘器,4115,False,,Thiết bị gia dụng nhỏ
165,定制成品光学镜,4106,True,head,Kính mắt & kính áp tròng
166,角几/边几,4100,False,,Nội thất phòng khách
167,水杯,4074,False,,Bình nước & đồ uống
168,犬主粮,4071,False,,Thú cưng: thức ăn
169,学生校服,4052,False,,Đồng phục & trang phục biểu diễn
170,休闲裤,4024,False,,Quần & váy
171,BB霜,4019,False,,Trang điểm
172,运动文胸,4000,False,,Đồ lót & đồ ngủ
173,防水涂料,3996,False,,Vật liệu xây dựng
174,防蓝光镜,3992,False,,Kính mắt & kính áp tròng
175,整顶假发,3987,False,,Chăm sóc tóc
176,电热/火锅,3975,False,,"Nồi, chảo & đồ nấu ăn"
177,彩色隐形眼镜,3963,False,,Kính mắt & kính áp tròng
178,成人用纸尿护理用品,3956,False,,Sức khỏe & thiết bị y tế
179,吊灯,3950,False,,Đèn & chiếu sáng
180,眼线,3941,False,,Trang điểm
181,升降台,3937,False,,Nội thất văn phòng & học tập
182,衣帽架,3935,False,,Tủ & kệ lưu trữ
183,蓝牙耳机,3934,False,,Âm thanh & nhạc cụ
184,婚纱,3920,False,,Đồ cưới & trang trí sự kiện
185,防晒霜,3878,False,,Chăm sóc da mặt
186,眉笔/眉粉/眉膏,3875,False,,Trang điểm
187,美甲工具,3873,False,,Mỹ phẩm dụng cụ & phụ kiện
188,半身裙,3870,False,,Áo nữ
189,智能车机导航,3870,False,,Ô tô: phụ tùng & phụ kiện
190,旅行箱,3858,False,,Túi xách & vali
191,多用途清洁剂,3857,False,,Dụng cụ vệ sinh nhà cửa
192,内裤,3855,False,,Đồ lót & đồ ngủ
193,高光,3846,False,,Trang điểm
194,射灯,3844,False,,Đèn & chiếu sáng
195,床品套件/四件套/多件套,3823,True,head,Chăn ga gối đệm
196,猫/狗保健品,3820,False,,Sức khỏe & thiết bị y tế
197,加湿器,3814,False,,Điện lạnh & điều hòa
198,眼影,3809,False,,Trang điểm
199,电饭煲,3804,False,,Thiết bị gia dụng nhỏ
200,大班台/主管桌,3794,False,,Nội thất văn phòng & học tập
201,麦克风/话筒,3789,False,,Âm thanh & nhạc cụ
202,儿童床,3787,False,,Nội thất phòng ngủ
203,四轮推车,3779,False,,Đồ dùng cho bé
204,健身衣,3773,False,,Tập luyện & thể hình
205,油污清洁剂,3771,False,,Dụng cụ vệ sinh nhà cửa
206,润肤乳,3766,False,,Chăm sóc da mặt
207,书法,3758,False,,Đồ chơi giáo dục
208,行车记录仪,3739,False,,Ô tô: phụ tùng & phụ kiện
209,背心吊带,3721,False,,Áo nam
210,浴足剂,3720,False,,Chăm sóc cơ thể
211,UZRO/优资莱,3714,False,,Chăm sóc da mặt
212,唇彩/唇蜜/唇釉,3710,False,,Trang điểm
213,大灯总成,3691,False,,Ô tô: phụ tùng & phụ kiện
214,奶瓶,3679,False,,Đồ dùng cho bé
215,化妆刷,3665,False,,Trang điểm
216,西装,3661,False,,Áo nam
217,电动/遥控轨道,3653,False,,Đồ chơi mô hình & điều khiển
218,扫地机器人,3649,False,,Đồ chơi mô hình & điều khiển
219,代用/花草茶,3643,False,,"Trà, cà phê & đồ uống"
220,懒人沙发,3637,False,,Nội thất phòng khách
221,遥控开关,3635,True,head,Linh kiện & thiết bị điện
222,贴片面膜,3630,False,,Chăm sóc da mặt
223,化妆/美容工具,3620,False,,Mỹ phẩm dụng cụ & phụ kiện
224,装饰台灯,3615,False,,Đèn & chiếu sáng
225,遮阳篷/雨篷/车篷/广告篷/天幕,3600,False,,Khác / chưa xác định
226,男士包袋,3596,False,,Túi xách & vali
227,常规洗衣液,3584,False,,Dụng cụ vệ sinh nhà cửa
228,落地灯,3584,False,,Đèn & chiếu sáng
229,面部护理套装,3580,False,,Chăm sóc da mặt
230,卫生巾,3561,False,,Khác / chưa xác định
231,吸顶灯,3561,False,,Đèn & chiếu sáng
232,睫毛膏/睫毛增长液,3560,False,,Trang điểm
233,换气扇/排气扇,3557,False,,Điện lạnh & điều hòa
234,耳机/耳麦,3557,False,,Âm thanh & nhạc cụ
235,西服套装,3556,False,,Áo nam
236,戒指/指环,3550,False,,Trang sức
237,耳机保护套,3548,False,,Âm thanh & nhạc cụ
238,牛肉类,3545,False,,"Thịt, cá & hải sản"
239,瑜伽长裤,3540,False,,Tập luyện & thể hình
240,逗猫棒,3540,False,,Thú cưng: chăm sóc
241,卸妆,3538,False,,Chăm sóc da mặt
242,儿童电动车,3533,False,,Xe đạp & xe điện
243,换鞋凳,3533,False,,Nội thất phòng khách
244,传统黄酒,3530,False,,Rượu vang & rượu mạnh
245,牛仔裤,3526,False,,Quần & váy
246,惯性/回力/滑行玩具,3523,False,,Đồ chơi mô hình & điều khiển
247,LED显示屏,3517,False,,Khác / chưa xác định
248,野餐炉具,3516,True,head,Cắm trại & dã ngoại
249,养生壶/煎药壶,3514,False,,"Nồi, chảo & đồ nấu ăn"
250,空气芳香剂,3497,False,,Thiết bị gia dụng nhỏ
251,登山鞋/徒步鞋,3490,False,,Giày thể thao
252,隔离/妆前,3483,False,,Trang điểm
253,组合/屏风工作位,3482,False,,Nội thất văn phòng & học tập
254,手电筒,3474,False,,Đèn & chiếu sáng
255,高低/子母床,3468,False,,Nội thất phòng ngủ
256,Yalget/雅丽洁,3458,False,,Chăm sóc da mặt
257,抽纸,3458,False,,Dụng cụ vệ sinh nhà cửa
258,项链,3454,False,,Trang sức
259,分体泳衣,3449,False,,Đồ bơi & thể thao nước
260,蜜粉/散粉,3445,False,,Trang điểm
261,碗,3442,False,,Dụng cụ nhà bếp
262,遮瑕,3440,False,,Trang điểm
263,头发造型,3433,True,medium,Chăm sóc tóc
264,灯箱,3432,False,,Thiết bị thương mại
265,笔记本电脑包,3428,False,,Máy tính & phụ kiện
266,手镯,3422,False,,Trang sức
267,芭蕾舞服,3421,False,,Khác / chưa xác định
268,滑板,3420,False,,Tập luyện & thể hình
269,电磁炉/陶炉,3416,False,,"Nồi, chảo & đồ nấu ăn"
270,智能手表手环表带/腕带,3414,False,,Đồng hồ
271,抹胸,3410,False,,Áo nữ
272,榨汁机,3403,False,,Thiết bị gia dụng nhỏ
273,景观庭院灯饰,3399,False,,Đèn & chiếu sáng
274,塑身连体衣,3389,False,,Quần áo trẻ em
275,钢笔,3387,False,,Văn phòng phẩm
276,游艺机,3385,False,,Đồ chơi ngoài trời
277,床头柜,3384,False,,Nội thất phòng ngủ
278,手机包,3384,False,,Điện thoại & phụ kiện
279,跑步鞋,3384,True,medium,Giày thể thao
280,理发器,3376,False,,Chăm sóc tóc
281,停车场控制机/道闸,3370,False,,Thiết bị mạng & an ninh
282,鱼线轮,3369,True,head,Câu cá & săn bắn
283,吊扇,3363,False,,Đèn & chiếu sáng
284,组合型花茶,3362,False,,"Trà, cà phê & đồ uống"
285,广告牌,3356,False,,Thiết bị thương mại
286,壁灯,3339,False,,Đèn & chiếu sáng
287,移动电源,3330,False,,Điện thoại & phụ kiện
288,越野车外侧脚踏板,3330,False,,Ô tô: phụ tùng & phụ kiện
289,智能手环,3327,False,,Điện thoại & phụ kiện
290,工装制服,3318,False,,Đồng phục & trang phục biểu diễn
291,练字帖/练字板,3311,False,,Đồ chơi giáo dục
292,眼膜,3310,False,,Chăm sóc da mặt
293,车载充电器,3309,False,,Điện thoại & phụ kiện
294,现代舞服装,3305,False,,Khác / chưa xác định
295,雨鞋,3302,False,,Giày nữ
296,建构/拼插积木,3301,False,,Đồ chơi mô hình & điều khiển
297,电脑椅,3300,False,,Máy tính & phụ kiện
298,陀螺,3296,False,,Đồ chơi mô hình & điều khiển
299,电吹风,3295,False,,Khác / chưa xác định
300,民族服装/舞台装,3285,False,,Áo nữ
301,洗洁精,3283,False,,Dụng cụ vệ sinh nhà cửa
302,游戏手柄,3281,False,,Trò chơi điện tử
303,钱包,3274,False,,Túi xách & vali
304,马桶清洁剂/洁厕剂,3266,False,,Thiết bị phòng tắm
305,电炖锅/煲汤锅/电炖盅,3264,False,,"Nồi, chảo & đồ nấu ăn"
306,拉拉裤,3259,False,,Đồ dùng cho bé
307,棉衣/棉服,3254,False,,Áo khoác & trang phục giữ ấm
308,女士包袋,3240,False,,Túi xách & vali
309,唇膏/口红,3239,False,,Trang điểm
310,糖果,3236,False,,Đồ ăn vặt
311,牙刷/口腔清洁工具,3224,False,,Chăm sóc răng miệng
312,服装展示架,3221,False,,Thiết bị thương mại
313,粉底液/膏,3208,False,,Trang điểm
314,睡袋/防踢被,3196,False,,Chăn ga gối đệm
315,果冻/布丁,3194,False,,Đồ ăn vặt
316,影室灯,3189,False,,Camera & nhiếp ảnh
317,酒架,3189,False,,Thiết bị thương mại
318,沐浴乳/沐浴露,3186,False,,Chăm sóc cơ thể
319,项坠/吊坠,3183,False,,Trang sức
320,尾翼/顶翼,3182,False,,Ô tô: phụ tùng & phụ kiện
321,早教闪卡/潜能开发卡,3181,False,,Đồ chơi giáo dục
322,液态精华,3174,False,,Chăm sóc da mặt
323,小型燃气灶,3168,False,,"Nồi, chảo & đồ nấu ăn"
324,涂抹面膜,3164,False,,Chăm sóc da mặt
325,洗手液,3160,False,,Chăm sóc cơ thể
326,电动/遥控飞机,3156,False,,Đồ chơi mô hình & điều khiển
327,砖雕,3156,False,,Đồ trang trí nhà cửa
328,保暖贴,3152,False,,Sức khỏe & thiết bị y tế
329,商用展示柜/展示架,3152,False,,Nội thất phòng khách
330,拉丁舞练习套装,3151,False,,Đồng phục & trang phục biểu diễn
331,电动/遥控车,3151,False,,Đồ chơi mô hình & điều khiển
332,门禁机,3144,False,,Thiết bị mạng & an ninh
333,单个书柜,3134,True,medium,Nội thất văn phòng & học tập
334,消毒液,3134,False,,Dụng cụ vệ sinh nhà cửa
335,香熏香料,3133,False,,Nước hoa & hương thơm
336,按摩温熏调理器,3125,False,,Khác / chưa xác định
337,支架,3123,False,,Linh kiện & thiết bị điện
338,拉杆广场音箱/户外音响,3122,False,,Thiết bị điện tử gia đình
339,空气净化器,3116,False,,Thiết bị gia dụng nhỏ
340,海苔系列,3115,False,,Đồ ăn vặt
341,文胸,3114,False,,Đồ lót & đồ ngủ
342,传统糕点,3106,False,,Đồ ăn vặt
343,连体衣/裤,3100,False,,Quần áo trẻ em
344,保暖套装,3097,False,,Áo khoác & trang phục giữ ấm
345,男士洁面,3097,False,,Chăm sóc da mặt
346,粉饼,3097,False,,Trang điểm
347,有线鼠标,3095,False,,Máy tính & phụ kiện
348,铁观音,3091,False,,"Trà, cà phê & đồ uống"
349,耳环,3090,False,,Trang sức
350,洁面,3087,False,,Chăm sóc da mặt
351,腮红/胭脂,3087,False,,Trang điểm
352,人字拖,3079,False,,Giày nữ
353,手套,3078,False,,"Mũ, khăn & găng tay"
354,露营/旅游/登山帐篷,3075,False,,Cắm trại & dã ngoại
355,手机保护套/壳,3068,False,,Điện thoại & phụ kiện
356,永生花,3060,False,,Đồ trang trí nhà cửa
357,足球鞋,3049,False,,Giày thể thao
358,鞋垫,3046,False,,Phụ kiện giày
359,机械喷嘴,3043,False,,Linh kiện & thiết bị điện
360,潜水服,3042,False,,Đồ bơi & thể thao nước
361,塑身美体裤,3040,False,,Quần & váy
362,止汗露,3040,False,,Chăm sóc cơ thể
363,铁艺/钢木床,3029,False,,Nội thất phòng ngủ
364,香波浴液,3026,True,medium,Chăm sóc cơ thể
365,车挂,3019,False,,Ô tô: phụ tùng & phụ kiện
366,马丁靴,3019,False,,Giày nữ
367,液压装卸车,3017,True,head,Máy móc công nghiệp
368,筒灯,3015,False,,Đèn & chiếu sáng
369,婚庆绢花,3011,False,,Đồ trang trí nhà cửa
370,保温杯,3010,False,,Bình nước & đồ uống
371,枣类制品,3007,False,,Đồ ăn vặt
372,奖状/证书,3003,False,,Văn phòng phẩm
373,乳胶枕,3002,False,,Nội thất phòng ngủ
374,化妆水/爽肤水,3002,False,,Chăm sóc da mặt
375,塑杯,3000,False,,Bình nước & đồ uống
376,鸭肉零食,2995,False,,"Thịt, cá & hải sản"
377,鱼干,2988,False,,"Thịt, cá & hải sản"
378,车蜡,2987,False,,Ô tô: phụ tùng & phụ kiện
379,板鞋/休闲鞋,2980,False,,Giày thể thao
380,玄关台,2978,False,,Nội thất phòng khách
381,鸡肉零食,2978,False,,Đồ ăn vặt
382,普通U盘,2977,False,,Dụng cụ nhà bếp
383,韩美肌,2975,False,,Chăm sóc da mặt
384,啤酒,2974,False,,Rượu vang & rượu mạnh
385,电视机架,2974,False,,Thiết bị điện tử gia đình
386,车载自动升窗器,2972,False,,Ô tô: phụ tùng & phụ kiện
387,香薰蜡烛,2972,False,,Nước hoa & hương thơm
388,放大镜,2963,False,,Kính mắt & kính áp tròng
389,身体乳/霜,2963,False,,Chăm sóc cơ thể
390,建筑/DIY小屋/拼装模型,2961,False,,Đồ chơi mô hình & điều khiển
391,猪肉类,2961,False,,"Thịt, cá & hải sản"
392,进户门,2961,False,,Vật liệu xây dựng
393,宣纸,2960,False,,Đồ chơi giáo dục
394,中老年女装,2959,False,,Áo nữ
395,豆腐干,2958,False,,Đồ ăn vặt
396,亲子装/亲子时装,2956,False,,Áo nữ
397,一字拖,2952,False,,Khác / chưa xác định
398,车用洗车机/设备,2950,False,,Ô tô: phụ tùng & phụ kiện
399,车用钥匙包,2945,False,,Túi xách & vali
400,篮球,2939,False,,Thể thao bóng
401,衣柜,2938,False,,Tủ & kệ lưu trữ
402,早教机/点读学习,2935,False,,Đồ chơi giáo dục
403,眼镜架,2935,False,,Kính mắt & kính áp tròng
404,显示器,2932,False,,Máy tính & phụ kiện
405,汽车灯泡,2929,False,,Ô tô: phụ tùng & phụ kiện
406,奶嘴/安抚奶嘴,2928,False,,Đồ dùng cho bé
407,洗衣机,2928,False,,Điện lạnh & điều hòa
408,毛呢外套,2923,False,,Áo khoác & trang phục giữ ấm
409,润唇膏,2921,False,,Trang điểm
410,车载手机支架/手机座,2914,False,,Điện thoại & phụ kiện
411,马夹,2914,False,,Áo nam
412,美工刀,2911,True,head,Dụng cụ cầm tay
413,无线鼠标,2909,False,,Máy tính & phụ kiện
414,洗漱包/化妆包,2909,True,medium,Mỹ phẩm dụng cụ & phụ kiện
415,请柬,2909,False,,Văn phòng phẩm
416,腰包,2907,False,,Túi xách & vali
417,贴纸,2907,False,,Văn phòng phẩm
418,一体机,2906,False,,Máy tính & phụ kiện
419,单方精油,2901,False,,Nước hoa & hương thơm
420,卡包,2901,False,,Túi xách & vali
421,休闲皮鞋,2899,True,medium,Giày nam
422,纯露/花水,2898,False,,Chăm sóc da mặt
423,LED灯带,2896,False,,Đèn & chiếu sáng
424,太阳眼镜,2895,False,,Kính mắt & kính áp tròng
425,机箱,2895,True,head,Linh kiện máy tính
426,毛笔,2891,False,,Văn phòng phẩm
427,报警主机,2887,False,,Thiết bị mạng & an ninh
428,车用清洗/除蜡/除胶剂,2886,False,,Khác / chưa xác định
429,手链,2883,False,,Trang sức
430,大型组合式游乐设备,2881,False,,Đồ chơi ngoài trời
431,头灯,2878,False,,Đèn & chiếu sáng
432,包挂件,2877,False,,Túi xách & vali
433,仿真/动物玩偶,2876,True,head,Búp bê & đồ chơi nhập vai
434,大型绿植/成品组合盆栽,2875,True,head,Nông nghiệp & làm vườn
435,灭鼠/杀虫剂,2859,False,,Dụng cụ vệ sinh nhà cửa
436,居家棉拖/棉鞋,2858,True,medium,Phụ kiện giày
437,钓竿,2857,False,,Câu cá & săn bắn
438,毛呢大衣,2855,False,,Áo khoác & trang phục giữ ấm
439,皮靴/棉靴,2855,True,tail,Giày nữ
440,即食鱼零食,2853,False,,Đồ ăn vặt
441,手工皂/精油皂,2852,False,,Nước hoa & hương thơm
442,瑜伽t恤,2851,False,,Áo nam
443,民族服装,2848,False,,Áo nữ
444,传统布鞋/手工编织鞋,2845,False,,Đồ thủ công & mỹ thuật
445,鱼饵,2845,False,,Câu cá & săn bắn
446,私处洗液,2837,False,,Chăm sóc cơ thể
447,缝纫DIY材料套装,2835,False,,Đồ thủ công & mỹ thuật
448,对讲机,2831,False,,Thiết bị mạng & an ninh
449,保健护具(护腰/膝/腿/颈),2830,False,,Sức khỏe & thiết bị y tế
450,魔方,2830,False,,Đồ chơi giáo dục
451,笔筒,2829,False,,Văn phòng phẩm
452,眼霜,2825,False,,Chăm sóc da mặt
453,猫砂,2818,False,,Thú cưng: chăm sóc
454,假睫毛辅助工具,2815,False,,Trang điểm
455,工具车,2814,False,,Dụng cụ cầm tay
456,书包,2803,False,,Túi xách & vali
457,汽车包围,2803,False,,Ô tô: phụ tùng & phụ kiện
458,狗狗,2797,False,,Thú cưng: chăm sóc
459,咖啡杯,2790,False,,Bình nước & đồ uống
460,过家家玩具,2787,False,,Đồ chơi mô hình & điều khiển
461,凤凰单丛,2783,False,,"Trà, cà phê & đồ uống"
462,香皂,2783,False,,Chăm sóc cơ thể
463,面部磨砂/去角质,2781,False,,Chăm sóc da mặt
464,早教教具/早教套装,2779,False,,Đồ chơi giáo dục
465,内衣套装,2776,False,,Đồ lót & đồ ngủ
466,包头拖,2770,False,,Phụ kiện giày
467,马甲,2762,False,,Áo nam
468,办公屏风/隔断,2761,False,,Nội thất văn phòng & học tập
469,摩托车整车,2761,False,,Xe đạp & xe điện
470,充气用品,2758,False,,Đồ chơi ngoài trời
471,水彩颜料,2756,False,,Đồ thủ công & mỹ thuật
472,口罩,2750,False,,"Mũ, khăn & găng tay"
473,折屏,2748,False,,Nội thất văn phòng & học tập
474,毛衣/针织衫,2746,False,,Áo nữ
475,电源,2745,False,,Linh kiện & thiết bị điện
476,宠物服装/雨衣,2743,False,,Thú cưng: chăm sóc
477,防晒衣,2740,False,,Chăm sóc da mặt
478,厨房冰箱,2739,False,,Điện lạnh & điều hòa
479,毛巾/面巾,2739,False,,"Rèm, thảm & vải gia dụng"
480,开发板/学习板/评估板/工控板,2738,False,,Khác / chưa xác định
481,烧烤炉,2738,False,,Dụng cụ nhà bếp
482,茶盘,2737,False,,Dụng cụ nhà bếp
483,西服/小西装,2734,False,,Áo nam
484,GHOST CALL BEAUTY/蜕唤美,2726,False,,Chăm sóc da mặt
485,Hifi音箱,2724,False,,Âm thanh & nhạc cụ
486,定制窗帘,2720,False,,"Rèm, thảm & vải gia dụng"
487,茶壶,2719,False,,Bình nước & đồ uống
488,松糕（摇摇）鞋,2709,False,,Giày nữ
489,充气打火机,2706,True,medium,Quà tặng & đồ lưu niệm
490,车用置物袋/置物箱,2703,False,,Ô tô: phụ tùng & phụ kiện
491,炒锅,2700,False,,"Nồi, chảo & đồ nấu ăn"
492,浴巾,2696,False,,"Rèm, thảm & vải gia dụng"
493,茶杯,2688,False,,Bình nước & đồ uống
494,大红袍,2687,False,,"Trà, cà phê & đồ uống"
